Shutter angle (deg),LED PWM,Example device/class,Base rate OK?,Ideal crank FPS,Maybe crank FPS
216,400 Hz,old WS2812/WS2812B,❌,-,-
216,580 Hz*,APA102 global brightness,❌,-,-
216,1 kHz,some SK6812 variants,✅,40,-
216,1.2 kHz,SK6812,✅,"40, 48",-
216,2 kHz,"WS2813/14, newer WS2812",✅,"40, 48, 50, 60",72
216,2.5 kHz,WS2801 class,✅,"50, 60, 100","40, 48, 72, 96"
216,4.7 kHz,SK9822,✅,60,"40, 48, 50, 72, 96, 100, 120, 144"
216,8 kHz,GS8208 / CS8812 class,✅,"40, 48, 50, 60, 96, 100, 120, 200, 240","72, 144"
216,10 kHz,WS2816B class,✅,"40, 48, 50, 60, 100, 120, 200, 240","72, 96, 144"
216,19.2 kHz,APA102 RGB PWM,✅,"40, 48, 60, 72, 96, 120, 144, 240","50, 100, 200"
216,20 kHz,generic high-frequency PWM,✅,"40, 48, 50, 60, 96, 100, 120, 200, 240","72, 144"
216,26 kHz,HD107S class,✅,"40, 48, 50, 60, 100, 120, 200, 240","72, 96, 144"
216,27 kHz,HD108 class,✅,"40, 50, 60, 72, 100, 120, 200","48, 96, 144, 240"
